Postcode,Suburb,State,LS_Accounts,LS_Value,Population,LS_Accounts_Per_Person,LS_Value_Per_Person,Tax_Population,Tax_Median_Income,Tax_Mean_Income
2311,Allynbrook,NSW,19,271005.91,837,0.02,323.78,484,30826,39369
2312,Nabiac,NSW,28,601458.37,1506,0.02,399.37,708,29731,38891
2313,,NSW,1,4416.67,,,,,,
2314,Williamtown,NSW,1,91776.06,167,0.01,549.56,,,
2315,Corlette,NSW,243,5275862.42,13380,0.02,394.31,7846,35282,49124
2316,Anna Bay,NSW,112,2132418.9,5525,0.02,385.96,3021,36192,51705
2317,Salamander Bay,NSW,100,1634684.77,6171,0.02,264.90,3327,35459,47765
2318,Ferodale,NSW,227,4724280.26,11391,0.02,414.74,6488,43040,52249
2319,Lemon Tree Passage,NSW,126,2033152.58,6317,0.02,321.85,2969,37568,45829
2320,Aberglasslyn,NSW,622,12351564.99,29289,0.02,421.71,17155,44758,59968
2321,Allandale (NSW),NSW,251,5423331.12,10926,0.02,496.37,7261,44374,57414
2322,Beresfield,NSW,317,6119366.3,16681,0.02,366.85,9420,44074,52771
2323,Ashtonfield,NSW,493,10569343.65,24735,0.02,427.30,13664,43932,54092
2324,Brandy Hill,NSW,418,7001431.75,22535,0.02,310.69,11638,38574,48176
2325,Aberdare,NSW,483,9382291.6,26225,0.02,357.76,12254,39723,51564
2326,Abermain,NSW,144,2631549.74,7171,0.02,366.97,3240,39807,48591
2327,Kurri Kurri,NSW,136,2210988.72,7359,0.02,300.45,3372,39889,47286
2328,Denman,NSW,53,1385882.37,2553,0.02,542.84,1367,41812,53537
2329,Cassilis (NSW),NSW,36,678460.95,2142,0.02,316.74,1041,34859,45167
2330,Bridgman,NSW,433,9553820.04,20458,0.02,467.00,11467,49099,69191
2331,,NSW,2,28127.06,,,,,,
2333,Castle Rock,NSW,305,5546373.81,13240,0.02,418.91,6976,48975,65689
2334,Greta (NSW),NSW,54,918871.23,2485,0.02,369.77,1357,45195,58004
